PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28
Lane,Valley Park,Short Tees,2023-02-26 12:02,67,10,4,4,3,2,4,3,5,3,3,2,4,4,3,4,6,4,2,7,,,,,,,,,,
Par,Rolling Pines,24 Hole Layout White Tees,2023-02-20 16:11,74,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,,,,
Lane,Rolling Pines,24 Hole Layout White Tees,2023-02-20 16:11,63,5,3,3,5,3,3,3,3,3,3,3,3,8,2,3,3,3,3,3,3,0,0,0,0,0,,,,
Par,Torma Town,2021 Shorts (Blue Baskets),2023-02-20 10:07,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Torma Town,2021 Shorts (Blue Baskets),2023-02-20 10:07,55,1,2,3,5,2,3,3,4,3,3,3,2,2,3,2,3,4,3,5,,,,,,,,,,
Par,Robbins Park,Short Tees ,2023-02-19 16:00,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,,,,,,,,
Lane,Robbins Park,Short Tees ,2023-02-19 16:00,55,-1,3,4,3,3,3,3,2,2,5,3,3,4,3,2,3,4,2,3,,,,,,,,,,
Par,Eastway Park,Beastway,2023-02-19 10:35,59,,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,,,,,,,,,,
Lane,Eastway Park,Beastway,2023-02-19 10:35,60,1,2,5,4,2,3,3,3,4,2,2,3,3,4,3,3,3,4,7,,,,,,,,,,
Par,Hornets Nest Park,Shorts 18 Holes,2023-02-18 15:22,59,,3,3,4,3,3,3,4,3,3,3,3,5,3,3,3,3,4,3,,,,,,,,,,
Lane,Hornets Nest Park,Shorts 18 Holes,2023-02-18 15:22,67,8,4,4,4,4,3,3,7,3,3,3,4,5,3,2,4,3,5,3,,,,,,,,,,
Par,Nevin Park,Original 18- Blue,2023-02-18 10:04,64,,3,3,3,4,5,3,3,3,4,3,4,4,3,4,3,4,4,4,,,,,,,,,,
Lane,Nevin Park,Original 18- Blue,2023-02-18 10:04,69,5,3,4,2,4,6,3,3,3,4,3,5,5,3,5,4,4,4,4,,,,,,,,,,
Par,Forked Run State Park,Reds,2023-02-12 14:50,82,,3,3,4,3,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,3,4,4,3,4,,,,
Lane,Forked Run State Park,Reds,2023-02-12 14:50,41,-5,2,3,4,4,3,3,2,3,3,2,0,0,0,0,0,3,3,2,4,0,0,0,0,0,,,,
Par,Parchment Valley Winter Lake,Main,2023-02-08 16:58,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lane,Parchment Valley Winter Lake,Main,2023-02-08 16:58,29,2,3,3,3,3,3,3,5,3,3,,,,,,,,,,,,,,,,,,,
Par,Idlewild,24 short,2023-01-28 15:50,83,,4,3,3,3,3,3,3,4,3,3,4,5,3,3,3,4,4,3,3,4,5,3,3,4,,,,
